Colegio,geo_shape
CEIP Max Aub,"{""coordinates"":[[-0.37465491022949343,39.486650267376284],[-0.3743751670123375,39.48667940784669],[-0.37393887963976813,39.48672485349401],[-0.37351863602798946,39.48676862685999],[-0.3733503838386895,39.4867809907936],[-0.37311092022371706,39.48680474428511],[-0.37295622016139895,39.48680995475421],[-0.37287291917195303,39.486825591686156],[-0.3728012558330935,39.486887759833664],[-0.3727610280503404,39.486999800466904],[-0.3726832889877578,39.48721588926299],[-0.3726753431378715,39.487237975680046],[-0.37272054981423014,39.48733904654294],[-0.37267308737909344,39.487481382210106],[-0.37265605628030724,39.48751376021855]],""type"":""LineString""}"
CEIP Max Aub,"{""coordinates"":[[-0.37115616118886774,39.487223104434285],[-0.37107140731403776,39.48741590066769],[-0.3709058426657657,39.48781581418756],[-0.370741912910995,39.48784893010896],[-0.37063506541937674,39.48782243462493],[-0.37058446026573155,39.48793648640732]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.39964167144949336,39.47745415974157],[-0.3995665300047438,39.4772001871569],[-0.39956071535874965,39.477093049363674],[-0.3995315367358813,39.47698368877087],[-0.3997653331490458,39.476941247516436],[-0.399790955719016,39.477073397378796],[-0.4013506975998158,39.47673894696382]],""type"":""LineString""}"
CEIP Giner de los Ríos,"{""coordinates"":[[-0.39676736823326714,39.479548153255585],[-0.39700081951745225,39.47944651755047],[-0.3983018531815478,39.47889047946407],[-0.39832100849834073,39.47882602952797],[-0.3985961302723304,39.47866105458138],[-0.3986469927270348,39.47863918826854],[-0.39867406454617343,39.478669101773754],[-0.3988196806297772,39.47859975209913],[-0.39890861443977493,39.47856678045738],[-0.3989956157648987,39.478541148218845],[-0.3999299554078649,39.47827560766774],[-0.3997980069168534,39.477881781512075],[-0.39973209313009356,39.47771963972171],[-0.39991662483004004,39.477684854198095],[-0.3999407687440814,39.47773367267719],[-0.39998271665174256,39.47774733709075],[-0.40077765439962504,39.47758587814696]],""type"":""LineString""}"
CEIP Chiner de Villarroya,"{""coordinates"":[[-0.33298172851190944,39.47417491615113],[-0.332994908705459,39.47411621055488]],""type"":""LineString""}"
CEIP Cervantes,"{""coordinates"":[[-0.38403137741971405,39.473697055866346],[-0.3840435630547406,39.47372909071299],[-0.3840459159403179,39.47388767069355],[-0.38407607758302276,39.474207521644466],[-0.38411869451870445,39.47458100488116],[-0.38412521623158263,39.47463018209534],[-0.3841538661044159,39.474657141720506],[-0.38415829840228943,39.47471591852566],[-0.38414013945051817,39.47474270734133],[-0.38415370212519945,39.47489063718164],[-0.3842482776867258,39.47563825702512],[-0.38430592029304295,39.47566223867108],[-0.3843305923499799,39.47576411870254],[-0.3842618752899771,39.47577527526407],[-0.3842364088437148,39.475923933725],[-0.38422112583699924,39.47601314890589],[-0.3841434067161177,39.476511090596865],[-0.3841233286179068,39.47664108245348],[-0.3841049306997379,39.47676020517152],[-0.38411919289398055,39.47677850238295],[-0.38410181837267154,39.476853323038064],[-0.3840846099128373,39.47689176719144],[-0.38405074966354347,39.47702994137136]],""type"":""LineString""}"
CEIP Antonio Machado,"{""coordinates"":[[-0.3776972167626866,39.492390565095945],[-0.37722656248350267,39.49249415275701],[-0.3769374958767463,39.49255777336015],[-0.37679817847893715,39.49258948673548],[-0.37675068766400555,39.492544617529745],[-0.3766652029987807,39.49256089788062],[-0.3766759683110355,39.49262184112427],[-0.3763522274699132,39.49268777552085],[-0.3758837339184116,39.49279375145735],[-0.3758566100876886,39.49276692247063],[-0.37574855416175135,39.4927905606415],[-0.37573910236100666,39.492830337094496],[-0.37508279654053633,39.49297384058105],[-0.3750455697384262,39.49297294283084],[-0.37501511584434066,39.49293336128269],[-0.37492965052849925,39.49294913538933],[-0.37492670142947665,39.493008991479236],[-0.37443342163247056,39.49311582400915],[-0.3744671387130994,39.493191524417796],[-0.3744141087099855,39.49322075683597],[-0.3744319612613315,39.49326239426867],[-0.3743168105043262,39.493290938202186],[-0.3745194063399034,39.49380121608197],[-0.374499930675906,39.493837291239544],[-0.3745125744734996,39.49390030137125],[-0.3745452271469758,39.493899449139626],[-0.37460441551133233,39.494023342677814],[-0.3746856150592856,39.49421176152013],[-0.3748231336867108,39.494530860970826],[-0.3747853551967803,39.4945453403375],[-0.3748226406791964,39.494630151649325],[-0.37485898088851294,39.49463603111589],[-0.3749776999728968,39.49494831572232],[-0.37493868969355404,39.49496409880268],[-0.37497661059803444,39.49504943071296],[-0.37501488420363804,39.49504732159767],[-0.3752896742008303,39.49577693941037],[-0.3752763298885896,39.49579422127329],[-0.3749147290446804,39.495867423910205],[-0.374896371968769,39.495843678273914],[-0.3748486864153583,39.49585653926386],[-0.37482681827114184,39.4958624378046],[-0.3748240653736898,39.49589390267592],[-0.3744219858574027,39.49597703214461],[-0.37403737370687773,39.49606198467003],[-0.37399453969414226,39.49602819316965],[-0.3739203705367629,39.49604438934734],[-0.373914810894135,39.496089055256625],[-0.3736435030365615,39.4961543678629],[-0.3736702527347783,39.49623668827987],[-0.37366355378416133,39.49632935953432],[-0.37372794430438727,39.49651746030118],[-0.37361454195546084,39.49680946455946]],""type"":""LineString""}"
CEIP Antonio Machado,"{""coordinates"":[[-0.3745314074107589,39.49831763329898],[-0.37470097593835355,39.498791491488895],[-0.37484452050805467,39.49876238254808],[-0.37498026987445404,39.4987117915955],[-0.37528722459738967,39.4986373040455],[-0.37530296408316033,39.49860073359001],[-0.37539774179500035,39.498580617525754],[-0.37541545801828224,39.49860167030253],[-0.37558350836790844,39.49856069271559],[-0.37559045795403523,39.49852993161986],[-0.3756930818876388,39.498505342215005],[-0.3757133343438375,39.49852796930739],[-0.37623677042648407,39.49840608078859],[-0.37625751881287306,39.49837544296712],[-0.3763673888525161,39.4983475175854],[-0.3764025809782587,39.49836854592383],[-0.37703072161242235,39.498217149512506],[-0.3770346906836096,39.498192621766016],[-0.37714648486986496,39.49817269651781],[-0.3771759295533678,39.49818704190606],[-0.3773281491716206,39.498145461171234],[-0.37731864193437364,39.498112997896214],[-0.37727271069275786,39.49799674801886],[-0.37719817379354925,39.49785000275766],[-0.3771606835026766,39.49784593042754],[-0.3771213855259047,39.49776433379634],[-0.37716102916374916,39.497743581548946],[-0.3771059444490626,39.49762224042437],[-0.37707147535153385,39.497623482972195],[-0.377034336600447,39.49753462894679],[-0.3770839533472373,39.497514745090484],[-0.37694935176359057,39.49669612404377],[-0.3769168350449658,39.49668729828716],[-0.3769098187162185,39.496601260227024],[-0.3769369066555644,39.49658568480437],[-0.37695391436956954,39.496565535081416],[-0.3770390028091192,39.49654062784849],[-0.37707868725215204,39.49655021626169],[-0.3777013507176473,39.496404445344744],[-0.37772426855642827,39.49636666810611],[-0.3777985342591251,39.49635367428634],[-0.3778191287455492,39.496377536632195],[-0.3782227025085308,39.49628672479073],[-0.3782200807957091,39.49625544304574],[-0.37831504455525805,39.49623027032266],[-0.3783465641092972,39.49625788980192],[-0.37911076628301055,39.4960849082618],[-0.379116890680233,39.49605411840188],[-0.37921037828007953,39.49603346377263],[-0.3792375192512574,39.496056251944005],[-0.3805828935063109,39.49575543465121]],""type"":""LineString""}"
CEIP Jaime Balmes,"{""coordinates"":[[-0.3715741243848233,39.463146985075156],[-0.37150208333648915,39.463124061625095],[-0.3712252211386019,39.46298500882444],[-0.3709919919353589,39.462865931176864],[-0.37097853495133076,39.46282532949883],[-0.3709216996559232,39.46279836418961],[-0.3708844070189734,39.462797329553915],[-0.3704407936680026,39.46258834723739],[-0.3703517622686845,39.46253603662612],[-0.3702555858642501,39.4625376972388],[-0.3701031875525918,39.46253623691991],[-0.3699726344257698,39.46236783324979],[-0.36983496291738344,39.46218284169379],[-0.36975940175352306,39.46215813394614],[-0.36971746413400813,39.462059753748505],[-0.36958525950377735,39.46188099990246],[-0.36927062787295845,39.46142452749083],[-0.3692266044037248,39.46136065765236]],""type"":""LineString""}"
CEIP Alejandra Soler,"{""coordinates"":[[-0.3698621792501188,39.460677385536925],[-0.37051697289059177,39.46039971271587],[-0.37063178260281815,39.46038599443087],[-0.37073285593973726,39.460344016361724],[-0.3708270839898286,39.460268204839885],[-0.3718152992926112,39.45984912534094],[-0.37199633611379773,39.45977235075416],[-0.372104658835734,39.459818012684735],[-0.3722002814764634,39.459784084655304],[-0.3722936370999282,39.45992391034957],[-0.3729163698679622,39.460797966441724],[-0.3730683458870874,39.46096410162672],[-0.3731201074166502,39.46109960728781],[-0.3733711574812013,39.46143628119073],[-0.3735377061311323,39.46168430723447],[-0.3737625264523706,39.461995158368914],[-0.37390223537318035,39.46203955948347],[-0.37439718045481585,39.46183814995236]],""type"":""LineString""}"
