"","Fecha","Estacion","Media_SO2","Media_PM2.5","Media_NO2","Media_O3"
"64","2020-01-16","Politecnico",5.20833333333333,31.7083333333333,47.0416666666667,16.1666666666667
"65","2020-01-17","Avda. Francia",4.04545454545455,12.6818181818182,42.7727272727273,31.1818181818182
"66","2020-01-17","Moli del Sol",3,19.25,23,31.0416666666667
"67","2020-01-17","Pista Silla",4,12.0833333333333,39.2083333333333,27.5833333333333
"68","2020-01-17","Politecnico",3.33333333333333,14.0416666666667,31.0833333333333,30.1666666666667
"69","2020-01-18","Avda. Francia",4,6.08333333333333,39.5,27.75
"70","2020-01-18","Moli del Sol",3,16.875,19.9583333333333,26.4583333333333
"71","2020-01-18","Pista Silla",4,9.66666666666667,36.625,23.4166666666667
"72","2020-01-18","Politecnico",3.91666666666667,12.5833333333333,27.4166666666667,26.7916666666667
"73","2020-01-19","Avda. Francia",5.25,2.79166666666667,10.9583333333333,59.3333333333333
"74","2020-01-19","Moli del Sol",3,6.375,4.58333333333333,48.4166666666667
"75","2020-01-19","Pista Silla",4,3.375,10.5416666666667,48
"76","2020-01-19","Politecnico",4.16666666666667,6.33333333333333,4.45833333333333,54.1666666666667
"77","2020-01-20","Avda. Francia",4.33333333333333,3.29166666666667,6,60
"78","2020-01-20","Moli del Sol",3,2.45833333333333,3.41666666666667,52.2916666666667
"79","2020-01-20","Pista Silla",4,1.17391304347826,6.69565217391304,52.6086956521739
"80","2020-01-20","Politecnico",4.34782608695652,5.43478260869565,4.91304347826087,54.8260869565217
"81","2020-01-21","Avda. Francia",3,2,4,58
"82","2020-01-21","Moli del Sol",3,33.4545454545455,14.4545454545455,43.1818181818182
"83","2020-01-21","Pista Silla",5.95833333333333,23.625,31.875,36.5833333333333
"84","2020-01-21","Politecnico",3,22.875,8.20833333333333,52.6666666666667
"85","2020-01-22","Moli del Sol",3.04166666666667,33.2083333333333,16.2916666666667,40.625
"86","2020-01-22","Pista Silla",4,19.4583333333333,25.9583333333333,40.0833333333333
"87","2020-01-22","Politecnico",3.58333333333333,19.5,11.6666666666667,51.9583333333333
"88","2020-01-23","Moli del Sol",3.08333333333333,39.1666666666667,22.5833333333333,22.875
"89","2020-01-23","Pista Silla",8.29166666666667,26.6666666666667,41.2916666666667,17.5
"90","2020-01-23","Politecnico",4.2,17.3,22.1,20
"91","2020-01-24","Moli del Sol",3.20833333333333,45.6666666666667,23.9166666666667,26.2083333333333
"92","2020-01-24","Pista Silla",8.20833333333333,33.4166666666667,47.4166666666667,22.1666666666667
"93","2020-01-25","Moli del Sol",3,52.7083333333333,20.625,24.875
"94","2020-01-25","Pista Silla",4,36.1666666666667,37.0416666666667,23.625
