Latitud,Longitud,dlibre,regimen
39.38178099907452,-0.33234700000000006,IES EL SALER,PÚBLICO
39.46767799907398,-0.41028700000000107,CENTRE PRIV. ED. INF. 1er CICLE CASA CUNA SANTA ISABEL,PRIVADO
39.47691599907394,-0.3854869999999996,CENTRE PRIV. ED. INF. 1er CICLE TURIA,PRIVADO
39.47458399907395,-0.3911820000000005,CENTRE PRIV. ED. INFANTIL LA AURORA,CONCERTADO
39.453144999074084,-0.387923,CENTRE PRIV. ED. INFANTIL BAMBINOS,PRIVADO
39.495819999073824,-0.3997889999999991,IES BENICALAP,PÚBLICO
39.46012799907403,-0.38753600000000044,CENTRE PRIVAT FP C.ESTUDIOS RODRIGO-GIORGETA,CONCERTADO
39.464111999074014,-0.4052820000000004,ESCOLA PRIVADA DE MÚSICA FRANCISCA PASCUAL,PRIVADO
39.46691999907398,-0.33892400000000084,CEP AIORA,PÚBLICO
39.49011899907384,-0.3914740000000002,CENTRE PRIV. ED. INF. 1er CICLE AMADEUS SCHOOL,PRIVADO
39.476239999073925,-0.36274400000000073,CENTRE PRIV. ED. INFANTIL SAN PASCUAL BAYLÓN,PRIVADO
39.45145899907409,-0.3926969999999999,CENTRE PRIV. ED. INF. 1er CICLE CARAGOLS I MARIETES II,PRIVADO
39.46136199907403,-0.3689860000000004,CENTRE PRIV. ED. INF. 1er CICLE BAMBI,PRIVADO
39.45760099907405,-0.369436999999999,CENTRE PRIV. ED. INFANTIL SAN LUIS,PRIVADO
39.48660499907387,-0.3591590000000013,CENTRE PRIV. ED. INF. 1er CICLE SAN JOSÉ,PRIVADO
39.48253099907389,-0.3862350000000008,CENTRE ENS. PROFESSIONALS DE MÚSICA ASOCIAC. MUSICAL ALSINA,PRIVADO
39.4800169990739,-0.4014780000000002,CENTRE PRIV. ED. INFANTIL LOS DUENDES,PRIVADO
39.463076999074026,-0.3689970000000003,CENTRE PRIV. ED. INFANTIL PETER PAN,PRIVADO
39.466386999074,-0.34096599999999994,CENTRE PRIV. ED. INF. 1er CICLE DU-DU-A,PRIVADO
39.462985999074014,-0.38227400000000006,CENTRE PRIVAT FP INUPEL II,PRIVADO
39.474911999073946,-0.33617699999999967,CENTRE PRIV. ED. INF. 1er CICLE BETERÓ,PRIVADO
39.470733999073964,-0.3451629999999999,CENTRE PRIV. ED. INF. 1er CICLE EL EDEN,PRIVADO
39.43399699907421,-0.39206399999999964,CENTRE PRIV. ED. INF. 1er CICLE SAMBORI-LATORRE,PRIVADO
39.46417799907401,-0.37332100000000146,CENTRE PRIVAT FP COLEGIO RUZAFA,PRIVADO
39.49479299907382,-0.3600380000000005,IES RASCANYA-ANTONIO CAÑUELO,PÚBLICO
39.46349899907401,-0.33767899999999973,CENTRE PRIV. ED. INF. 1er CICLE JARDÍN DE SERRERIA,PRIVADO
39.47100899907395,-0.3837110000000003,CENTRE PRIV. ED. INF. 1er CICLE BAMBINI,PRIVADO
39.46219899907402,-0.3830619999999998,CENTRE PRIVAT FP TAES,PRIVADO
39.48613699907388,-0.33084399999999925,CEIP LA PATACONA,PÚBLICO
39.461709999074024,-0.3515620000000003,CEIP TOMÁS DE MONTAÑANA,PÚBLICO
39.49245899907382,-0.36804199999999954,CENTRE PRIV. ED. INF. 1er CICLE MARNI II,PRIVADO
39.45435399907409,-0.39011099999999993,CENTRE PRIVAT FP IVAFE,PRIVADO
39.4532399990741,-0.3902940000000007,CENTRE PRIV. ED. INF. 1er CICLE VIRGEN DE CORTES 2,PRIVADO
39.45789899907406,-0.37183000000000044,CENTRE PRIV. ED. INF. 1er CICLE SACAPUNTAS S/CORT. NI PUNTAS,PRIVADO
39.465797999074,-0.39760399999999957,E. PRIV. DE MÚSICA SOCIETAT MUSICAL LA UNIÓ DE TRES FORQUES,PRIVADO
39.48421599907389,-0.3564010000000007,CENTRE PRIV. ED. INF. 1er CICLE PEQUES-ÑAJOS,PRIVADO
39.49494899907382,-0.3668509999999995,CENTRE PRIVAT FP XABEC,CONCERTADO
39.48511399907389,-0.3581179999999989,CENTRE ENS. PROFESSIONALS DE MÚSICA TALLER DE MÚSICA JOVE,PRIVADO
39.45412899907407,-0.36386000000000196,ESCOLA OFICIAL D'IDIOMES VALÈNCIA-QUATRE CARRERES,PÚBLICO
39.44083299907415,-0.40812499999999996,CENTRE PRIVAT FP CFFOLGADO,CONCERTADO
39.495287999073824,-0.3833360000000001,CENTRE PRIV. ED. INF. 1er CICLE PEÚCOS,PRIVADO
39.47491599907394,-0.329209000000001,CENTRE PRIV. ED. INF. 1er CICLE PITUFOS,PRIVADO
39.46608099907399,-0.3550630000000003,CENTRE PRIV. ED. INF. 1er CICLE BALEARS II,PRIVADO
39.47157099907397,-0.38972900000000027,CENTRE PRIVAT FP TEVIÁN CEP,PRIVADO
39.44544399907413,-0.3355160000000004,EI 1er CICLE MUNICIPAL GENT MENUDA,PÚBLICO
39.45327299907409,-0.3800350000000006,ESCOLA PRIVADA DE MÚSICA SOCIETAT MUSICAL BARRI MALILLA,PRIVADO
39.47986099907392,-0.3969210000000001,CENTRE PRIV. ED. INFANTIL EL VALLE 1,PRIVADO
39.454709999074076,-0.4050669999999995,CENTRE PRIV. ED. INF. 1er CICLE FANTASÍA,PRIVADO
39.463345999074015,-0.39177700000000065,CENTRE PRIV. ED. INFANTIL RISITAS,PRIVADO
39.50229199907377,-0.4235150000000017,CENTRE PRIV. ED. INF. 1er CICLE LA MILOTXA II,PRIVADO
39.45227499907409,-0.4035650000000007,CENTRE PRIV. ED. INF. 1er CICLE MONTESSORI-SAN ISIDRO,PRIVADO
39.467076999073996,-0.3546940000000004,ESCOLA PRIVADA DE MÚSICA MARÍA RAFOLS,PRIVADO
39.49593399907381,-0.4067930000000003,CENTRE PRIV. ED. INF. 1er CICLE TXANOGORRITXU,PRIVADO
39.46664699907399,-0.3715479999999998,CENTRE PRIV. ED. INF. 1er CICLE PASITO A PASITO,PRIVADO
39.45565999907408,-0.3422689999999991,CEIP L'ALBEREDA,PÚBLICO
39.46985199907398,-0.39041700000000046,CENTRE PRIV. ED. INF. 1er CICLE LITTLE FRIENDS,PRIVADO
39.502063999073776,-0.42139899999999986,CENTRE PRIV. ED. INF. 1er CICLE CAMPAMENT,PRIVADO
39.474249999073955,-0.35280200000000084,CENTRE PRIV. ED. INF. 1er CICLE BABY'S BRAIN,PRIVADO
39.463947999074016,-0.33389699999999983,CENTRE PRIV. ED. INF. 1er CICLE SAINT TIMOTHY,PRIVADO
39.468070999073994,-0.3485579999999999,CENTRE PRIVAT FP NÀUTICA I SUBAQUÀTICA,PRIVADO
39.49095999907385,-0.3794570000000007,CENTRE PRIV. ED. INF. 1er CICLE PIPO 2,PRIVADO
39.46168699907402,-0.36822899999999975,CENTRE PRIV. ED. INFANTIL GUPPYDOS,PRIVADO
39.49324499907383,-0.38642000000000043,EI 1er CICLE MUNICIPAL BENICALAP,PÚBLICO
39.47290799907394,-0.3543520000000002,CENTRE PRIV. ED. INF. 1er CICLE MI PEQUEÑO MUNDO,PRIVADO
39.47815899907391,-0.3470170000000015,CENTRE PRIVAT FP STUDIO,PRIVADO
39.46867599907397,-0.34041500000000113,EI 1er CICLE MUNICIPAL ALGIRÓS,PÚBLICO
39.47260099907397,-0.35997400000000074,CENTRE PRIV. ED. INF. 1er CICLE BAMBY-ABADE 2,PRIVADO
39.46120499907403,-0.34367500000000045,CENTRE PRIV. ED. INF. 1er CICLE ETAPAS,PRIVADO
39.4823699990739,-0.3880940000000002,CENTRE PRIVAT FP CLAUDIO GALENO,PRIVADO
39.49617599907381,-0.36849300000000046,CENTRE ENSENYAMENTS ESPORTIUS MARNI,PRIVADO
